Dataset	ScanNumber	Ion Injection Time (ms)	Scan Segment	Scan Event	Charge State	Monoisotopic M/Z	Collision Mode	Scan Filter Text
0	1							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	2							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	3							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	4							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	5							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	6							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	7							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	8							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	9							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	10							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	11							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	12							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	13							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	14							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	15							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	16							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	17							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	18							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	19							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	20							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	21							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	22							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	23							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	24							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	25							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	26							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	27							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	28							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	29							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	30							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	31							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	32							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	33							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	34							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	35							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	36							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	37							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	38							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	39							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	40							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	41							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
0	42							+ c NSI SRM ms2 331.194 [421.228-421.230, 593.312-593.314, 694.360-694.362]
0	43							+ c NSI SRM ms2 328.522 [413.213-413.215, 585.298-585.300, 686.346-686.348]
