Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName	DriftTime
0	1	0.0	1	1.8886E+07	124628	0	0	457863	457863	HMS	30.5488
0	2	0.0	1	1.809E+07	116549	0	0	443364	443364	HMS	30.5488
0	3	0.0	1	1.7965E+07	118555	0	0	443852	443852	HMS	30.5488
0	4	0.0	1	1.7732E+07	119560	0	0	435770	435770	HMS	30.5488
0	5	0.0	1	1.811E+07	119587	0	0	442544	442544	HMS	30.5488
0	6	0.0	1	1.8329E+07	119570	0	0	447907	447907	HMS	30.5488
0	7	0.0	1	1.8157E+07	117217	0	0	443034	443034	HMS	30.5488
0	8	0.0	1	1.8701E+07	119758	0	0	455795	455795	HMS	30.5488
0	9	0.0	1	1.8358E+07	115472	0	0	447805	447805	HMS	30.5488
0	10	0.0	1	1.8319E+07	122147	0	0	448184	448184	HMS	30.5488
0	11	0.0	1	1.8404E+07	122426	0	0	450437	450437	HMS	30.5488
0	12	0.0	1	1.8689E+07	119234	0	0	455657	455657	HMS	30.5488
0	13	0.0	1	1.8567E+07	122297	0	0	453056	453056	HMS	30.5488
0	14	0.0	1	1.9046E+07	122249	0	0	462498	462498	HMS	30.5488
0	15	0.0	1	1.8719E+07	118108	0	0	459332	459332	HMS	30.5488
0	16	0.0	1	1.8795E+07	119997	0	0	459574	459574	HMS	30.5488
0	17	0.0	1	1.9074E+07	119597	0	0	463678	463678	HMS	30.5488
0	18	0.0	1	1.8896E+07	118539	0	0	461133	461133	HMS	30.5488
0	19	0.0	1	1.879E+07	129959	0	0	459298	459298	HMS	30.5488
0	20	0.0	1	1.8957E+07	122803	0	0	460472	460472	HMS	30.5488
0	21	0.0	1	1.9207E+07	125100	0	0	465937	465937	HMS	30.5488
0	22	0.0	1	1.8786E+07	120204	0	0	455304	455304	HMS	30.5488
0	23	0.0	1	1.8624E+07	117731	0	0	454072	454072	HMS	30.5488
0	24	0.0	1	1.8518E+07	120620	0	0	452465	452465	HMS	30.5488
0	25	0.0	1	1.8688E+07	124082	0	0	452092	452092	HMS	30.5488
0	26	0.0	1	1.8981E+07	124465	0	0	459953	459953	HMS	30.6265
0	27	0.0	1	1.9517E+07	127988	0	0	470955	470955	HMS	30.6265
0	28	0.0	1	1.9337E+07	127675	0	0	467570	467570	HMS	30.6265
0	29	0.0	1	1.9581E+07	126187	0	0	474046	474046	HMS	30.6265
0	30	0.0	1	1.9137E+07	128189	0	0	464365	464365	HMS	30.6265
0	31	0.0	1	1.915E+07	121833	0	0	465313	465313	HMS	30.6265
0	32	0.0	1	1.8986E+07	125326	0	0	461761	461761	HMS	30.6265
0	33	0.0	1	1.8233E+07	123234	0	0	444364	444364	HMS	30.6265
0	34	0.0	1	2.1727E+07	130306	0	0	514406	514406	HMS	30.6265
0	35	0.0	1	2.0758E+07	129083	0	0	494091	494091	HMS	30.6265
0	36	0.0	1	2.12E+07	134922	0	0	504784	504784	HMS	30.5488
0	37	0.0	1	2.1052E+07	135932	0	0	499613	499613	HMS	30.5488
0	38	0.0	1	2.0789E+07	134450	0	0	494398	494398	HMS	30.5488
0	39	0.0	1	2.0933E+07	133639	0	0	496899	496899	HMS	30.5488
0	40	0.0	1	2.0846E+07	131336	0	0	496297	496297	HMS	30.5488
0	41	0.0	1	2.1064E+07	131934	0	0	499915	499915	HMS	30.5488
0	42	0.0	1	2.0917E+07	135037	0	0	496642	496642	HMS	30.5488
0	43	0.0	1	2.0617E+07	127951	0	0	491942	491942	HMS	30.5488
0	44	0.0	1	2.0254E+07	126471	0	0	485468	485468	HMS	30.5488
0	45	0.0	1	1.9994E+07	129918	0	0	482308	482308	HMS	30.5488
0	46	0.0	1	2.0779E+07	136985	0	0	497501	497501	HMS	30.5488
0	47	0.0	1	2.1297E+07	135590	0	0	504551	504551	HMS	30.5488
0	48	0.0	1	2.1715E+07	137316	0	0	515042	515042	HMS	30.5488
0	49	0.0	1	2.1611E+07	138726	0	0	509489	509489	HMS	30.5488
0	50	0.0	1	2.1468E+07	137919	0	0	511933	511933	HMS	30.5488
0	51	0.0	1	2.1213E+07	130254	0	0	503386	503386	HMS	30.5488
0	52	0.0	1	2.1618E+07	143055	0	0	510438	510438	HMS	30.5488
0	53	0.0	1	2.14E+07	135486	0	0	505524	505524	HMS	30.5488
0	54	0.0	1	2.152E+07	131851	0	0	508665	508665	HMS	30.5488
0	55	0.0	1	2.1429E+07	137658	0	0	509935	509935	HMS	30.5488
0	56	0.0	1	2.1256E+07	133801	0	0	504099	504099	HMS	30.5488
0	57	0.0	1	2.1161E+07	140304	0	0	502513	502513	HMS	30.5488
0	58	0.0	1	2.1083E+07	132577	0	0	501740	501740	HMS	30.5488
0	59	0.0	1	2.2089E+07	139491	0	0	519966	519966	HMS	30.5488
0	60	0.0	1	2.1282E+07	134180	0	0	503303	503303	HMS	30.5488
0	61	0.0	1	2.1461E+07	140477	0	0	507035	507035	HMS	30.5488
0	62	0.0	1	2.1132E+07	135278	0	0	499385	499385	HMS	30.5488
0	63	0.0	1	2.1624E+07	140994	0	0	510395	510395	HMS	30.5488
0	64	0.0	1	2.1567E+07	141737	0	0	506805	506805	HMS	30.5488
0	65	0.0	1	2.1121E+07	130724	0	0	499784	499784	HMS	30.5488
0	66	0.0	1	2.5587E+07	142190	0	0	582733	582733	HMS	30.5488
0	67	0.0	1	2.3083E+07	145820	0	0	537394	537394	HMS	30.5488
0	68	0.0	1	2.2973E+07	140903	0	0	536706	536706	HMS	30.5488
0	69	0.0	1	2.3544E+07	145037	0	0	545411	545411	HMS	30.5488
0	70	0.0	1	2.3759E+07	151378	0	0	548542	548542	HMS	30.5488
0	71	0.0	1	2.334E+07	153209	0	0	543316	543316	HMS	30.5488
0	72	0.0	1	2.3308E+07	144692	0	0	543977	543977	HMS	30.5488
0	73	0.0	1	2.3436E+07	142657	0	0	546988	546988	HMS	30.5488
0	74	0.0	1	2.4133E+07	151283	0	0	557734	557734	HMS	30.5488
0	75	0.0	1	2.3871E+07	144868	0	0	554207	554207	HMS	30.5488
0	76	0.0	1	2.4015E+07	146989	0	0	557491	557491	HMS	30.5488
0	77	0.0	1	2.4024E+07	147653	0	0	554312	554312	HMS	30.5488
0	78	0.0	1	2.402E+07	148483	0	0	553964	553964	HMS	30.5488
0	79	0.0	1	2.3676E+07	141651	0	0	551705	551705	HMS	30.5488
0	80	0.0	1	2.3952E+07	154381	0	0	553162	553162	HMS	30.5488
0	81	0.0	1	2.376E+07	147773	0	0	552248	552248	HMS	30.5488
0	82	0.0	1	2.388E+07	146757	0	0	549781	549781	HMS	30.5488
0	83	0.0	1	2.401E+07	149483	0	0	555011	555011	HMS	30.5488
0	84	0.0	1	2.3695E+07	147289	0	0	551300	551300	HMS	30.5488
0	85	0.0	1	2.3499E+07	145692	0	0	546267	546267	HMS	30.5488
0	86	0.0	1	2.3065E+07	141503	0	0	539004	539004	HMS	30.5488
0	87	0.0	1	2.4171E+07	148962	0	0	558365	558365	HMS	30.5488
0	88	0.0	1	2.3704E+07	146622	0	0	551150	551150	HMS	30.5488
0	89	0.0	1	2.3946E+07	142631	0	0	553307	553307	HMS	30.5488
0	90	0.0	1	2.3607E+07	146283	0	0	544244	544244	HMS	30.5488
0	91	0.0	1	2.2895E+07	143574	0	0	532846	532846	HMS	30.5488
0	92	0.0	1	2.3404E+07	148074	0	0	545934	545934	HMS	30.5488
0	93	0.0	1	2.3532E+07	153046	0	0	545792	545792	HMS	30.5488
0	94	0.0	1	2.3572E+07	147087	0	0	550309	550309	HMS	30.5488
0	95	0.0	1	2.3286E+07	150451	0	0	544497	544497	HMS	30.5488
0	96	0.0	1	2.3182E+07	151757	0	0	537414	537414	HMS	30.5488
0	97	0.0	1	2.2639E+07	147961	0	0	528112	528112	HMS	30.5488
0	98	0.0	1	2.2775E+07	149350	0	0	530447	530447	HMS	30.5488
0	99	0.0	1	2.6391E+07	153415	0	0	601575	601575	HMS	30.5488
0	100	0.0	1	2.4912E+07	152496	0	0	574562	574562	HMS	30.5488
0	101	0.0	1	2.4762E+07	147801	0	0	570020	570020	HMS	30.5488
0	102	0.0	1	2.4335E+07	152853	0	0	563598	563598	HMS	30.5488
0	103	0.0	1	2.42E+07	156741	0	0	561023	561023	HMS	30.5488
0	104	0.0	1	2.4034E+07	151847	0	0	559063	559063	HMS	30.5488
0	105	0.0	1	2.412E+07	151685	0	0	560385	560385	HMS	30.5488
0	106	0.0	1	2.391E+07	142584	0	0	558724	558724	HMS	30.5488
0	107	0.0	1	2.4419E+07	148521	0	0	567851	567851	HMS	30.5488
0	108	0.0	1	2.3864E+07	147498	0	0	558002	558002	HMS	30.5488
0	109	0.0	1	2.4699E+07	149619	0	0	574470	574470	HMS	30.5488
0	110	0.0	1	2.545E+07	158329	0	0	587043	587043	HMS	30.5488
0	111	0.0	1	2.525E+07	150651	0	0	583888	583888	HMS	30.5488
0	112	0.0	1	2.5501E+07	158195	0	0	587857	587857	HMS	30.5488
0	113	0.0	1	2.55E+07	160080	0	0	589503	589503	HMS	30.5488
0	114	0.0	1	2.5542E+07	152073	0	0	584471	584471	HMS	30.5488
0	115	0.0	1	2.5696E+07	159569	0	0	586931	586931	HMS	30.5488
0	116	0.0	1	2.6168E+07	159918	0	0	598090	598090	HMS	30.5488
0	117	0.0	1	2.5489E+07	155257	0	0	586442	586442	HMS	30.5488
0	118	0.0	1	2.5457E+07	161410	0	0	585646	585646	HMS	30.5488
0	119	0.0	1	2.5927E+07	164274	0	0	589152	589152	HMS	30.5488
0	120	0.0	1	2.5025E+07	156552	0	0	580993	580993	HMS	30.5488
0	121	0.0	1	2.488E+07	157771	0	0	577365	577365	HMS	30.5488
0	122	0.0	1	2.465E+07	155842	0	0	575362	575362	HMS	30.5488
0	123	0.0	1	2.5062E+07	159664	0	0	580108	580108	HMS	30.5488
0	124	0.0	1	2.5184E+07	151742	0	0	582242	582242	HMS	30.5488
0	125	0.0	1	2.5183E+07	162293	0	0	579677	579677	HMS	30.5488
0	126	0.0	1	2.5068E+07	158952	0	0	580061	580061	HMS	30.5488
0	127	0.0	1	2.4338E+07	147221	0	0	566313	566313	HMS	30.5488
0	128	0.0	1	2.4908E+07	159418	0	0	577121	577121	HMS	30.5488
0	129	0.0	1	2.5216E+07	154191	0	0	581646	581646	HMS	30.5488
0	130	0.0	1	2.5124E+07	158819	0	0	578976	578976	HMS	30.5488
0	131	0.0	1	2.9499E+07	173021	0	0	658293	658293	HMS	30.5488
0	132	0.0	1	2.7702E+07	163124	0	0	628429	628429	HMS	30.5488
0	133	0.0	1	2.7846E+07	171012	0	0	632265	632265	HMS	30.5488
0	134	0.0	1	2.8371E+07	170161	0	0	639371	639371	HMS	30.5488
0	135	0.0	1	2.8018E+07	169494	0	0	635502	635502	HMS	30.5488
0	136	0.0	1	2.7801E+07	157932	0	0	632385	632385	HMS	30.5488
0	137	0.0	1	2.7866E+07	171182	0	0	632572	632572	HMS	30.5488
0	138	0.0	1	2.7412E+07	164789	0	0	624621	624621	HMS	30.5488
0	139	0.0	1	2.7394E+07	159623	0	0	624372	624372	HMS	30.5488
0	140	0.0	1	2.725E+07	159449	0	0	621652	621652	HMS	30.5488
0	141	0.0	1	2.7848E+07	164592	0	0	629908	629908	HMS	30.5488
0	142	0.0	1	2.7509E+07	163019	0	0	624811	624811	HMS	30.5488
0	143	0.0	1	2.7874E+07	166681	0	0	631955	631955	HMS	30.5488
0	144	0.0	1	2.7701E+07	164362	0	0	629309	629309	HMS	30.5488
0	145	0.0	1	2.8036E+07	168669	0	0	636364	636364	HMS	30.5488
0	146	0.0	1	2.7711E+07	164540	0	0	627975	627975	HMS	30.5488
0	147	0.0	1	2.8097E+07	169368	0	0	637556	637556	HMS	30.5488
0	148	0.0	1	2.7872E+07	169483	0	0	632737	632737	HMS	30.5488
0	149	0.0	1	2.8282E+07	176189	0	0	639087	639087	HMS	30.5488
0	150	0.0	1	2.8064E+07	167625	0	0	635745	635745	HMS	30.6265
0	151	0.0	1	2.8224E+07	169777	0	0	636381	636381	HMS	30.6265
0	152	0.0	1	2.7799E+07	165476	0	0	633219	633219	HMS	30.6265
0	153	0.0	1	2.722E+07	169267	0	0	620860	620860	HMS	30.6265
0	154	0.0	1	2.6911E+07	167689	0	0	617286	617286	HMS	30.6265
0	155	0.0	1	2.738E+07	164102	0	0	625360	625360	HMS	30.6265
0	156	0.0	1	2.6757E+07	166933	0	0	614174	614174	HMS	30.6265
0	157	0.0	1	2.6454E+07	157269	0	0	604816	604816	HMS	30.6265
0	158	0.0	1	2.7075E+07	169521	0	0	616158	616158	HMS	30.6265
0	159	0.0	1	2.6533E+07	157993	0	0	608585	608585	HMS	30.6265
0	160	0.0	1	2.633E+07	159456	0	0	604854	604854	HMS	30.6265
0	161	0.0	1	2.6528E+07	159911	0	0	611639	611639	HMS	30.6265
