Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName	DriftTime
0	1	0.0	1	6.0741E+07	1.7187E+06	0	0	1203781	1203781	HMS	35.1722
0	2	0.0167	1	6.2493E+07	1.7285E+06	0	0	1235547	1235547	HMS	35.1861
0	3	0.0335	1	6.1631E+07	1.7387E+06	0	0	1207400	1207400	HMS	35.1861
0	4	0.0502	1	6.0757E+07	1.7138E+06	0	0	1202458	1202458	HMS	35.1861
0	5	0.067	1	6.0788E+07	1.6904E+06	0	0	1218947	1218947	HMS	35.1861
0	6	0.0837	1	6.0176E+07	1.7391E+06	0	0	1179555	1179555	HMS	35.1861
0	7	0.1005	1	6.2047E+07	1.7378E+06	0	0	1217648	1217648	HMS	35.1861
0	8	0.1172	1	6.067E+07	1.7053E+06	0	0	1208020	1208020	HMS	35.1861
0	9	0.134	1	6.1286E+07	1.7189E+06	0	0	1194657	1194657	HMS	35.1861
0	10	0.1507	1	6.0076E+07	1.6934E+06	0	0	1199722	1199722	HMS	35.1861
0	11	0.1675	1	6.1326E+07	1.7208E+06	0	0	1205175	1205175	HMS	35.1861
0	12	0.1842	1	6.0635E+07	1.7311E+06	0	0	1192373	1192373	HMS	35.1861
0	13	0.201	1	6.155E+07	1.7134E+06	0	0	1221239	1221239	HMS	35.1861
0	14	0.2177	1	6.0804E+07	1.7169E+06	0	0	1209990	1209990	HMS	35.1861
0	15	0.2345	1	6.1001E+07	1.7284E+06	0	0	1213978	1213978	HMS	35.1722
0	16	0.2512	1	6.0856E+07	1.7157E+06	0	0	1220384	1220384	HMS	35.1722
0	17	0.268	1	6.0764E+07	1.7103E+06	0	0	1194883	1194883	HMS	35.1722
0	18	0.2847	1	6.1031E+07	1.716E+06	0	0	1193397	1193397	HMS	35.1722
0	19	0.3015	1	6.0788E+07	1.7161E+06	0	0	1174575	1174575	HMS	35.1722
0	20	0.3182	1	5.9484E+07	1.6912E+06	0	0	1183087	1183087	HMS	35.1722
0	21	0.335	1	6.161E+07	1.707E+06	0	0	1230549	1230549	HMS	35.1722
0	22	0.3517	1	6.2519E+07	1.7463E+06	0	0	1223768	1223768	HMS	35.1722
0	23	0.3685	1	6.1769E+07	1.7307E+06	0	0	1203557	1203557	HMS	35.1722
0	24	0.3852	1	6.1216E+07	1.7134E+06	0	0	1197980	1197980	HMS	35.1722
0	25	0.402	1	6.0811E+07	1.7164E+06	0	0	1217934	1217934	HMS	35.1722
0	26	0.4187	1	6.156E+07	1.6969E+06	0	0	1217397	1217397	HMS	35.1722
0	27	0.4355	1	6.2079E+07	1.7497E+06	0	0	1201847	1201847	HMS	35.1722
0	28	0.4522	1	6.1815E+07	1.7475E+06	0	0	1179110	1179110	HMS	35.1722
0	29	0.469	1	4.6704E+07	1.2987E+06	0	0	1024672	1024672	HMS	35.175
0	30	0.4857	1	4.6637E+07	1.2883E+06	0	0	962983	962983	HMS	35.175
0	31	0.5025	1	4.6124E+07	1.2793E+06	0	0	940228	940228	HMS	35.175
0	32	0.5192	1	4.6384E+07	1.2857E+06	0	0	947770	947770	HMS	35.175
0	33	0.536	1	4.7047E+07	1.3035E+06	0	0	961834	961834	HMS	35.175
0	34	0.5527	1	4.6465E+07	1.2992E+06	0	0	934115	934115	HMS	35.175
0	35	0.5695	1	4.5784E+07	1.2727E+06	0	0	940630	940630	HMS	35.175
0	36	0.5862	1	4.6053E+07	1.2715E+06	0	0	939923	939923	HMS	35.175
0	37	0.603	1	4.624E+07	1.2724E+06	0	0	950120	950120	HMS	35.175
0	38	0.6197	1	4.6067E+07	1.2763E+06	0	0	958674	958674	HMS	35.175
0	39	0.6365	1	4.5954E+07	1.2808E+06	0	0	948909	948909	HMS	35.175
0	40	0.6532	1	4.5926E+07	1.2605E+06	0	0	948631	948631	HMS	35.175
0	41	0.67	1	4.5588E+07	1.2791E+06	0	0	945005	945005	HMS	35.175
0	42	0.6867	1	4.6888E+07	1.2738E+06	0	0	957682	957682	HMS	35.175
0	43	0.7035	1	4.6105E+07	1.2764E+06	0	0	941687	941687	HMS	35.175
0	44	0.7202	1	4.624E+07	1.2963E+06	0	0	945364	945364	HMS	35.175
0	45	0.737	1	4.6195E+07	1.2742E+06	0	0	945914	945914	HMS	35.1722
0	46	0.7537	1	4.6176E+07	1.2685E+06	0	0	948943	948943	HMS	35.1722
0	47	0.7705	1	4.5006E+07	1.2529E+06	0	0	919822	919822	HMS	35.1722
0	48	0.7872	1	4.6507E+07	1.2664E+06	0	0	947805	947805	HMS	35.1722
0	49	0.804	1	4.5988E+07	1.2936E+06	0	0	929552	929552	HMS	35.1722
0	50	0.8207	1	4.5782E+07	1.2855E+06	0	0	927363	927363	HMS	35.1722
0	51	0.8375	1	4.603E+07	1.2925E+06	0	0	931326	931326	HMS	35.1722
0	52	0.8542	1	4.6455E+07	1.2953E+06	0	0	948356	948356	HMS	35.1722
0	53	0.871	1	4.6381E+07	1.2953E+06	0	0	949382	949382	HMS	35.1722
0	54	0.8877	1	4.6574E+07	1.2919E+06	0	0	953063	953063	HMS	35.1722
0	55	0.9045	1	4.6116E+07	1.2828E+06	0	0	942687	942687	HMS	35.1722
0	56	0.9212	1	4.5894E+07	1.2702E+06	0	0	938627	938627	HMS	35.1722
0	57	0.938	1	4.518E+07	1.2665E+06	0	0	914261	914261	HMS	35.1722
0	58	0.9547	1	4.5428E+07	1.2832E+06	0	0	916024	916024	HMS	35.1722
0	59	0.9715	1	4.8248E+07	1.3005E+06	0	0	980497	980497	HMS	35.1722
0	60	0.9882	1	4.7655E+07	1.3045E+06	0	0	923461	923461	HMS	35.175
0	61	1.005	1	4.7033E+07	1.2896E+06	0	0	918133	918133	HMS	35.175
0	62	1.0217	1	4.768E+07	1.2856E+06	0	0	911082	911082	HMS	35.175
0	63	1.0385	1	4.6949E+07	1.2823E+06	0	0	906531	906531	HMS	35.175
0	64	1.0552	1	4.7137E+07	1.2914E+06	0	0	910518	910518	HMS	35.175
0	65	1.072	1	4.7174E+07	1.2951E+06	0	0	910093	910093	HMS	35.175
0	66	1.0887	1	4.6435E+07	1.2751E+06	0	0	898378	898378	HMS	35.175
0	67	1.1055	1	4.6766E+07	1.2892E+06	0	0	898754	898754	HMS	35.175
0	68	1.1222	1	4.8476E+07	1.3149E+06	0	0	935193	935193	HMS	35.175
0	69	1.139	1	4.742E+07	1.3092E+06	0	0	936063	936063	HMS	35.175
0	70	1.1557	1	4.698E+07	1.2701E+06	0	0	926164	926164	HMS	35.175
0	71	1.1725	1	4.8161E+07	1.3047E+06	0	0	950771	950771	HMS	35.175
0	72	1.1892	1	4.8202E+07	1.3007E+06	0	0	954686	954686	HMS	35.175
0	73	1.206	1	4.775E+07	1.307E+06	0	0	934309	934309	HMS	35.175
0	74	1.2227	1	4.7684E+07	1.311E+06	0	0	931818	931818	HMS	35.175
0	75	1.2395	1	4.7926E+07	1.3108E+06	0	0	937068	937068	HMS	35.1722
0	76	1.2562	1	4.7466E+07	1.3103E+06	0	0	928047	928047	HMS	35.1722
0	77	1.273	1	4.6291E+07	1.2696E+06	0	0	933349	933349	HMS	35.1722
0	78	1.2897	1	4.6497E+07	1.2775E+06	0	0	917360	917360	HMS	35.1722
0	79	1.3065	1	4.8739E+07	1.3185E+06	0	0	949676	949676	HMS	35.1722
0	80	1.3232	1	4.7651E+07	1.2958E+06	0	0	953062	953062	HMS	35.1722
0	81	1.34	1	4.7699E+07	1.3017E+06	0	0	949437	949437	HMS	35.1722
0	82	1.3567	1	4.8664E+07	1.305E+06	0	0	948062	948062	HMS	35.1722
0	83	1.3735	1	4.7229E+07	1.314E+06	0	0	934609	934609	HMS	35.1722
0	84	1.3902	1	4.8273E+07	1.3017E+06	0	0	953240	953240	HMS	35.1722
0	85	1.407	1	4.7294E+07	1.2991E+06	0	0	933928	933928	HMS	35.1722
0	86	1.4237	1	4.7112E+07	1.2915E+06	0	0	935654	935654	HMS	35.1722
0	87	1.4405	1	4.8248E+07	1.3109E+06	0	0	937070	937070	HMS	35.1722
0	88	1.4572	1	4.7277E+07	1.3075E+06	0	0	909959	909959	HMS	35.1722
0	89	1.474	1	4.8818E+07	1.3033E+06	0	0	1007992	1007992	HMS	35.1722
0	90	1.4907	1	4.8531E+07	1.2828E+06	0	0	943477	943477	HMS	35.1722
0	91	1.5075	1	4.8311E+07	1.3058E+06	0	0	932248	932248	HMS	35.1722
0	92	1.5242	1	4.8885E+07	1.3042E+06	0	0	941305	941305	HMS	35.1722
0	93	1.541	1	4.7853E+07	1.2879E+06	0	0	926308	926308	HMS	35.1722
0	94	1.5577	1	4.8647E+07	1.3077E+06	0	0	917482	917482	HMS	35.1722
0	95	1.5745	1	4.8251E+07	1.2997E+06	0	0	907327	907327	HMS	35.1722
0	96	1.5912	1	4.8692E+07	1.2997E+06	0	0	934783	934783	HMS	35.1722
0	97	1.608	1	4.8525E+07	1.3103E+06	0	0	929700	929700	HMS	35.1722
0	98	1.6247	1	4.9212E+07	1.3315E+06	0	0	944557	944557	HMS	35.1722
0	99	1.6415	1	5.0042E+07	1.3289E+06	0	0	975894	975894	HMS	35.1722
0	100	1.6582	1	4.9021E+07	1.3092E+06	0	0	948886	948886	HMS	35.1722
0	101	1.675	1	4.9309E+07	1.2984E+06	0	0	961618	961618	HMS	35.1722
0	102	1.6917	1	4.8831E+07	1.3027E+06	0	0	956951	956951	HMS	35.1722
0	103	1.7085	1	4.9263E+07	1.3068E+06	0	0	954081	954081	HMS	35.1722
0	104	1.7252	1	4.7827E+07	1.2882E+06	0	0	932988	932988	HMS	35.1722
0	105	1.742	1	4.9036E+07	1.311E+06	0	0	943676	943676	HMS	35.1694
0	106	1.7587	1	4.8373E+07	1.299E+06	0	0	939532	939532	HMS	35.1694
0	107	1.7755	1	4.9078E+07	1.3049E+06	0	0	946217	946217	HMS	35.1694
0	108	1.7922	1	4.8565E+07	1.2988E+06	0	0	949798	949798	HMS	35.1694
0	109	1.809	1	4.8314E+07	1.2941E+06	0	0	938927	938927	HMS	35.1694
0	110	1.8257	1	4.7912E+07	1.297E+06	0	0	928476	928476	HMS	35.1694
0	111	1.8425	1	4.8757E+07	1.311E+06	0	0	948872	948872	HMS	35.1694
0	112	1.8592	1	4.8685E+07	1.312E+06	0	0	948085	948085	HMS	35.1694
0	113	1.876	1	4.8273E+07	1.2975E+06	0	0	941997	941997	HMS	35.1694
0	114	1.8927	1	4.9225E+07	1.3051E+06	0	0	971271	971271	HMS	35.1694
0	115	1.9095	1	4.8376E+07	1.3013E+06	0	0	937202	937202	HMS	35.1694
0	116	1.9262	1	4.9441E+07	1.2997E+06	0	0	949056	949056	HMS	35.1694
0	117	1.943	1	4.9042E+07	1.3241E+06	0	0	919509	919509	HMS	35.1694
0	118	1.9597	1	4.8428E+07	1.2975E+06	0	0	914072	914072	HMS	35.1694
0	119	1.9765	1	4.8062E+07	1.3006E+06	0	0	920469	920469	HMS	35.1694
0	120	1.9932	1	5.0344E+07	1.3144E+06	0	0	1026155	1026155	HMS	35.1694
0	121	2.01	1	5.0795E+07	1.3309E+06	0	0	955596	955596	HMS	35.1805
0	122	2.0267	1	4.8904E+07	1.2877E+06	0	0	946304	946304	HMS	35.1805
0	123	2.0435	1	4.8851E+07	1.2999E+06	0	0	943496	943496	HMS	35.1805
0	124	2.0602	1	4.9771E+07	1.2966E+06	0	0	936253	936253	HMS	35.1805
0	125	2.0769	1	4.9256E+07	1.3E+06	0	0	929189	929189	HMS	35.1805
0	126	2.0937	1	4.935E+07	1.2852E+06	0	0	946054	946054	HMS	35.1805
0	127	2.1104	1	4.9816E+07	1.3086E+06	0	0	965914	965914	HMS	35.1805
0	128	2.1272	1	4.9526E+07	1.2998E+06	0	0	953605	953605	HMS	35.1805
0	129	2.1439	1	4.7932E+07	1.2885E+06	0	0	907153	907153	HMS	35.1805
0	130	2.1607	1	4.9279E+07	1.3042E+06	0	0	945832	945832	HMS	35.1805
0	131	2.1774	1	5.0294E+07	1.3235E+06	0	0	981163	981163	HMS	35.1805
0	132	2.1942	1	4.9453E+07	1.3056E+06	0	0	966217	966217	HMS	35.1805
0	133	2.2109	1	4.9193E+07	1.2979E+06	0	0	988329	988329	HMS	35.1805
0	134	2.2277	1	5.0878E+07	1.3035E+06	0	0	1011798	1011798	HMS	35.1805
0	135	2.2444	1	5.0167E+07	1.3085E+06	0	0	998326	998326	HMS	35.1805
0	136	2.2612	1	4.8909E+07	1.2788E+06	0	0	1012826	1012826	HMS	35.1805
0	137	2.2779	1	4.9717E+07	1.3006E+06	0	0	992525	992525	HMS	35.1805
0	138	2.2947	1	4.9933E+07	1.3053E+06	0	0	980806	980806	HMS	35.1805
0	139	2.3114	1	4.8964E+07	1.2863E+06	0	0	954216	954216	HMS	35.1805
0	140	2.3282	1	4.9502E+07	1.2901E+06	0	0	970461	970461	HMS	35.1805
0	141	2.3449	1	4.9284E+07	1.3058E+06	0	0	971648	971648	HMS	35.1805
0	142	2.3617	1	5.0782E+07	1.3135E+06	0	0	976731	976731	HMS	35.1805
0	143	2.3784	1	4.9525E+07	1.3203E+06	0	0	940433	940433	HMS	35.1805
0	144	2.3952	1	4.9107E+07	1.2958E+06	0	0	958656	958656	HMS	35.1805
0	145	2.4119	1	4.8894E+07	1.2759E+06	0	0	960604	960604	HMS	35.1805
0	146	2.4287	1	4.8116E+07	1.2669E+06	0	0	929880	929880	HMS	35.1805
0	147	2.4454	1	4.9175E+07	1.3059E+06	0	0	934948	934948	HMS	35.1805
0	148	2.4622	1	4.9216E+07	1.3104E+06	0	0	935720	935720	HMS	35.1805
0	149	2.4789	1	4.8529E+07	1.2939E+06	0	0	941859	941859	HMS	35.1805
0	150	2.4957	1	5.0402E+07	1.2886E+06	0	0	1032897	1032897	HMS	35.1805
0	151	2.5124	1	4.9322E+07	1.294E+06	0	0	937247	937247	HMS	35.1722
