Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw	ScanTypeName	DriftTime
0	45	0.0329	1	116937	1272	467.11	0	6618	6618	HMS	4.8512
0	46	0.0329	1	110902	342	467.1	0	6765	6765	HMS	4.9614
0	47	0.0329	1	99714	287	633.55	0	6368	6368	HMS	5.0717
0	48	0.0329	1	97048	259	1019.8	0	6285	6285	HMS	5.1819
0	49	0.0329	1	94019	936	541.11	0	5915	5915	HMS	5.2922
0	50	0.0329	1	92299	1161	787.92	0	5671	5671	HMS	5.4024
0	51	0.0329	1	83505	841	541.12	0	5509	5509	HMS	5.5127
0	52	0.0329	1	76839	482	1083.7	0	5380	5380	HMS	5.6229
0	53	0.0329	1	69115	177	1099.3	0	5030	5030	HMS	5.7332
0	54	0.0329	1	64323	808	1024.8	0	4925	4925	HMS	5.8434
0	55	0.0329	1	60384	303	615.13	0	4632	4632	HMS	5.9537
0	56	0.0329	1	56527	572	1168.3	0	4333	4333	HMS	6.0639
0	57	0.0329	1	49232	141	1228.8	0	3981	3981	HMS	6.1742
0	58	0.0329	1	44755	82	1263.3	0	3777	3777	HMS	6.2845
0	59	0.0329	1	41257	110	1297.2	0	3528	3528	HMS	6.3947
0	60	0.0329	1	35807	74	1364.7	0	3221	3221	HMS	6.505
0	61	0.0329	1	34612	89	689.17	0	3143	3143	HMS	6.6152
0	62	0.0329	1	30158	243	1365	0	2704	2704	HMS	6.7255
0	63	0.0329	1	28276	71	1271.7	0	2600	2600	HMS	6.8357
0	64	0.0329	1	27661	463	1574.7	0	2548	2548	HMS	6.946
0	65	0.0329	1	23696	66	1415.7	0	2245	2245	HMS	7.0562
0	66	0.0329	1	21825	52	1404.8	0	2051	2051	HMS	7.1665
0	67	0.0329	1	21402	81	3007.3	0	2008	2008	HMS	7.2767
0	68	0.0329	1	18956	53	928.81	0	1836	1836	HMS	7.387
0	69	0.0329	1	17291	60	928.8	0	1682	1682	HMS	7.4972
0	70	0.0329	1	16151	56	1538.7	0	1603	1603	HMS	7.6075
0	71	0.0329	1	14918	417	1226.5	0	1404	1404	HMS	7.7178
0	72	0.0329	1	14380	58	1626.6	0	1396	1396	HMS	7.828
0	73	0.0329	1	13030	58	928.8	0	1276	1276	HMS	7.9383
0	74	0.0329	1	12654	70	3251.4	0	1216	1216	HMS	8.0485
0	75	0.0329	1	12473	88	1030.8	0	1208	1208	HMS	8.1588
0	76	0.0329	1	12010	231	1030.7	0	1115	1115	HMS	8.269
0	77	0.0329	1	10487	95	1030.8	0	998	998	HMS	8.3793
0	78	0.0329	1	10230	55	1030.7	0	1006	1006	HMS	8.4895
0	79	0.0329	1	10243	63	1711.7	0	1013	1013	HMS	8.5998
0	80	0.0329	1	8857	48	3861.5	0	853	853	HMS	8.71
0	81	0.0329	1	8748	70	3516.9	0	885	885	HMS	8.8203
0	82	0.0329	1	8247	56	1150.7	0	797	797	HMS	8.9305
0	83	0.0329	1	8608	75	3490.2	0	838	838	HMS	9.0408
0	84	0.0329	1	6799	46	1150.7	0	675	675	HMS	9.151
0	85	0.0329	1	7550	50	1150.7	0	746	746	HMS	9.2613
0	86	0.0329	1	6063	57	1150.7	0	616	616	HMS	9.3716
0	87	0.0329	1	6055	40	1162.8	0	629	629	HMS	9.4818
0	88	0.0329	1	5027	34	2885.5	0	522	522	HMS	9.5921
0	89	0.0329	1	5569	58	3897.2	0	541	541	HMS	9.7023
0	90	0.0329	1	4482	32	3507.4	0	463	463	HMS	9.8126
0	91	0.0329	1	4237	47	4043.1	0	426	426	HMS	9.9228
0	92	0.0329	1	4414	39	3932.9	0	453	453	HMS	10.0331
0	93	0.0329	1	4163	41	4065.6	0	439	439	HMS	10.1433
0	94	0.0329	1	4325	44	4558	0	419	419	HMS	10.2536
0	95	0.0329	1	3143	43	4155.3	0	343	343	HMS	10.3638
0	96	0.0329	1	3402	40	3561.6	0	361	361	HMS	10.4741
0	97	0.0329	1	3051	57	3656.3	0	310	310	HMS	10.5843
0	98	0.0329	1	3477	43	4499.6	0	348	348	HMS	10.6946
0	99	0.0329	1	2510	33	3718.8	0	271	271	HMS	10.8049
0	100	0.0329	1	2747	90	4701.9	0	269	269	HMS	10.9151
0	101	0.0329	1	2596	45	4734.5	0	268	268	HMS	11.0254
0	102	0.0329	1	2509	38	4601.8	0	263	263	HMS	11.1356
0	103	0.0329	1	1895	32	2209.4	0	196	196	HMS	11.2459
0	104	0.0329	1	1753	39	4321.5	0	183	183	HMS	11.3561
