Dataset	ScanNumber	Ion Injection Time (ms)	Scan Segment	Scan Event	Charge State	Monoisotopic M/Z	Collision Mode	Scan Filter Text
0	1195							FTMS + p NSI Full ms [400.00-2000.00]
0	1206							FTMS + p NSI Full ms [400.00-2000.00]
0	1217							FTMS + p NSI Full ms [400.00-2000.00]
0	1228							FTMS + p NSI Full ms [400.00-2000.00]
0	1239							FTMS + p NSI Full ms [400.00-2000.00]
0	1250							FTMS + p NSI Full ms [400.00-2000.00]
0	1261							FTMS + p NSI Full ms [400.00-2000.00]
0	1272							FTMS + p NSI Full ms [400.00-2000.00]
0	1283							FTMS + p NSI Full ms [400.00-2000.00]
0	1294							FTMS + p NSI Full ms [400.00-2000.00]
0	1305							FTMS + p NSI Full ms [400.00-2000.00]
0	1316							FTMS + p NSI Full ms [400.00-2000.00]
0	1327							FTMS + p NSI Full ms [400.00-2000.00]
0	1338							FTMS + p NSI Full ms [400.00-2000.00]
0	1349							FTMS + p NSI Full ms [400.00-2000.00]
0	1360							FTMS + p NSI Full ms [400.00-2000.00]
0	1371							FTMS + p NSI Full ms [400.00-2000.00]
0	1382							FTMS + p NSI Full ms [400.00-2000.00]
0	1393							FTMS + p NSI Full ms [400.00-2000.00]
0	1404							FTMS + p NSI Full ms [400.00-2000.00]
0	1415							FTMS + p NSI Full ms [400.00-2000.00]
0	1426							FTMS + p NSI Full ms [400.00-2000.00]
0	1437							FTMS + p NSI Full ms [400.00-2000.00]
0	1448							FTMS + p NSI Full ms [400.00-2000.00]
0	1459							FTMS + p NSI Full ms [400.00-2000.00]
0	1470							FTMS + p NSI Full ms [400.00-2000.00]
0	1481							FTMS + p NSI Full ms [400.00-2000.00]
0	1492							FTMS + p NSI Full ms [400.00-2000.00]
0	1503							FTMS + p NSI Full ms [400.00-2000.00]
0	1514							FTMS + p NSI Full ms [400.00-2000.00]
0	1525							FTMS + p NSI Full ms [400.00-2000.00]
0	1536							FTMS + p NSI Full ms [400.00-2000.00]
0	1547							FTMS + p NSI Full ms [400.00-2000.00]
0	1558							FTMS + p NSI Full ms [400.00-2000.00]
0	1569							FTMS + p NSI Full ms [400.00-2000.00]
0	1580							FTMS + p NSI Full ms [400.00-2000.00]
0	1591							FTMS + p NSI Full ms [400.00-2000.00]
0	1602							FTMS + p NSI Full ms [400.00-2000.00]
0	1613							FTMS + p NSI Full ms [400.00-2000.00]
0	1624							FTMS + p NSI Full ms [400.00-2000.00]
0	1635							FTMS + p NSI Full ms [400.00-2000.00]
0	1646							FTMS + p NSI Full ms [400.00-2000.00]
0	1657							FTMS + p NSI Full ms [400.00-2000.00]
0	1668							FTMS + p NSI Full ms [400.00-2000.00]
0	1679							FTMS + p NSI Full ms [400.00-2000.00]
0	1690							FTMS + p NSI Full ms [400.00-2000.00]
0	1701							FTMS + p NSI Full ms [400.00-2000.00]
0	1712							FTMS + p NSI Full ms [400.00-2000.00]
0	1723							FTMS + p NSI Full ms [400.00-2000.00]
0	1734							FTMS + p NSI Full ms [400.00-2000.00]
0	1745							FTMS + p NSI Full ms [400.00-2000.00]
0	1756							FTMS + p NSI Full ms [400.00-2000.00]
0	1767							FTMS + p NSI Full ms [400.00-2000.00]
0	1778							FTMS + p NSI Full ms [400.00-2000.00]
0	1789							FTMS + p NSI Full ms [400.00-2000.00]
0	1800							FTMS + p NSI Full ms [400.00-2000.00]
0	1811							FTMS + p NSI Full ms [400.00-2000.00]
0	1822							FTMS + p NSI Full ms [400.00-2000.00]
0	1833							FTMS + p NSI Full ms [400.00-2000.00]
0	1844							FTMS + p NSI Full ms [400.00-2000.00]
0	1855							FTMS + p NSI Full ms [400.00-2000.00]
