Dataset	ScanNumber	Ion Injection Time (ms)	Scan Segment	Scan Event	Charge State	Monoisotopic M/Z	Collision Mode	Scan Filter Text
0	1	50.000	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	2	16.461	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	3	17.373	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	4	16.159	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	5	15.815	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	6	16.250	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	7	15.115	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	8	15.180	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	9	14.943	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	10	13.571	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	11	14.632	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	12	14.711	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	13	14.358	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	14	13.903	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	15	14.740	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	16	14.680	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	17	14.365	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	18	14.143	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	19	13.974	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	20	14.102	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	21	13.942	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	22	13.868	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	23	13.730	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	24	13.459	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	25	13.953	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	26	13.908	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	27	13.559	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	28	13.980	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	29	13.787	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	30	13.409	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	31	13.439	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	32	13.582	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	33	13.739	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	34	14.090	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	35	14.501	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	36	13.867	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	37	14.115	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	38	14.006	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	39	13.984	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	40	14.084	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	41	14.084	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	42	14.581	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	43	14.004	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	44	14.374	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	45	13.539	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	46	13.801	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	47	14.050	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	48	13.563	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	49	13.476	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	50	13.828	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	51	13.847	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	52	13.466	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	53	13.319	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	54	13.395	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	55	13.504	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	56	13.313	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	57	13.661	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	58	13.224	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	59	13.518	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	60	13.098	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	61	13.016	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	62	13.378	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	63	13.738	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	64	13.388	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	65	13.665	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	66	13.749	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	67	13.579	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	68	13.109	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	69	13.511	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	70	13.932	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	71	13.302	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	72	13.170	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	73	13.649	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	74	13.672	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	75	13.362	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	76	13.385	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	77	13.096	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	78	12.979	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	79	13.166	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	80	13.231	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	81	13.143	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
0	82	12.973	1	1	0	0.0000		FTMS + p NSI Full ms [250.0000-1200.0000]
