Dataset	ScanNumber	Ion Injection Time (ms)	Scan Segment	Scan Event	Charge State	Monoisotopic M/Z	Collision Mode	Scan Filter Text
0	1	1.243			0	-1.0000		FTMS + p ESI Full ms [350.0000-2000.0000]
0	2	0.017			0	-1.0000		FTMS + p ESI Full ms [350.0000-2000.0000]
0	3	0.485			3	0.0000	hcd	FTMS + c ESI d Full ms2 432.9000@hcd30.00 [100.0000-1309.0000]
0	4	0.493			3	0.0000	hcd	FTMS + c ESI d Full ms2 433.9022@hcd30.00 [100.0000-1312.0000]
0	5	8.396			2	0.0000	hcd	FTMS + c ESI d Full ms2 648.8466@hcd30.00 [100.0000-1308.0000]
0	6	0.513			3	0.0000	etd	FTMS + c ESI d Full ms2 432.9000@etd53.99 [100.0000-1309.0000]
0	7	0.486			3	0.0000	sa_hcd	FTMS + c ESI d sa Full ms2 432.9000@etd53.99 432.9000@hcd30.00 [100.0000-1309.0000]
0	8	0.486			3	0.0000	sa_cid	FTMS + c ESI d sa Full ms2 432.9000@etd53.99 432.9000@cid30.00 [100.0000-1309.0000]
0	9	0.534			3	0.0000	etd	FTMS + c ESI d Full ms2 433.9022@etd53.99 [100.0000-1312.0000]
0	10	0.499			3	0.0000	sa_hcd	FTMS + c ESI d sa Full ms2 433.9022@etd53.99 433.9022@hcd30.00 [100.0000-1312.0000]
0	11	0.499			3	0.0000	sa_cid	FTMS + c ESI d sa Full ms2 433.9022@etd53.99 433.9022@cid30.00 [100.0000-1312.0000]
0	12	8.860			2	0.0000	etd	FTMS + c ESI d Full ms2 648.8466@etd121.47 [100.0000-1308.0000]
0	13	8.160			2	0.0000	sa_hcd	FTMS + c ESI d sa Full ms2 648.8466@etd121.47 648.8466@hcd30.00 [100.0000-1308.0000]
0	14	8.160			2	0.0000	sa_cid	FTMS + c ESI d sa Full ms2 648.8466@etd121.47 648.8466@cid30.00 [100.0000-1308.0000]
0	15	32.591			2	0.0000	hcd	FTMS + c ESI d Full ms2 513.2823@hcd30.00 [100.0000-1037.0000]
0	16	8.475			2	0.0000	hcd	FTMS + c ESI d Full ms2 649.8492@hcd30.00 [100.0000-1310.0000]
0	17	40.974			2	0.0000	etd	FTMS + c ESI d Full ms2 513.2823@etd121.47 [100.0000-1037.0000]
0	18	37.954			2	0.0000	sa_hcd	FTMS + c ESI d sa Full ms2 513.2823@etd121.47 513.2823@hcd30.00 [100.0000-1037.0000]
0	19	37.954			2	0.0000	sa_cid	FTMS + c ESI d sa Full ms2 513.2823@etd121.47 513.2823@cid30.00 [100.0000-1037.0000]
0	20	9.089			2	0.0000	etd	FTMS + c ESI d Full ms2 649.8492@etd121.47 [100.0000-1310.0000]
0	21	8.258			2	0.0000	sa_hcd	FTMS + c ESI d sa Full ms2 649.8492@etd121.47 649.8492@hcd30.00 [100.0000-1310.0000]
0	22	8.258			2	0.0000	sa_cid	FTMS + c ESI d sa Full ms2 649.8492@etd121.47 649.8492@cid30.00 [100.0000-1310.0000]
0	23	0.281			0	-1.0000		FTMS + p ESI Full ms [350.0000-2000.0000]
0	24	0.486			3	0.0000	hcd	FTMS + c ESI d Full ms2 432.8995@hcd30.00 [100.0000-1309.0000]
0	25	0.498			3	0.0000	hcd	FTMS + c ESI d Full ms2 433.9016@hcd30.00 [100.0000-1312.0000]
0	26	62.675			2	0.0000	hcd	FTMS + c ESI d Full ms2 659.8361@hcd30.00 [100.0000-1330.0000]
0	27	0.432			3	0.0000	etd	FTMS + c ESI d Full ms2 432.8995@etd53.99 [100.0000-1309.0000]
0	28	0.409			3	0.0000	sa_hcd	FTMS + c ESI d sa Full ms2 432.8995@etd53.99 432.8995@hcd30.00 [100.0000-1309.0000]
0	29	0.409			3	0.0000	sa_cid	FTMS + c ESI d sa Full ms2 432.8995@etd53.99 432.8995@cid30.00 [100.0000-1309.0000]
0	30	0.466			3	0.0000	etd	FTMS + c ESI d Full ms2 433.9016@etd53.99 [100.0000-1312.0000]
